gene,disease
ITPR2,Anhidrosis
IVD,Disorder Of Organic Acid Metabolism
IYD,Congenital Hypothyroidism
JAG1,Arteriohepatic Dysplasia
JAGN1,Severe Congenital Neutropenia
JAK2,Essential Thrombocythemia
JAK2,Familial Erythrocytosis
JPH1,Charcot-Marie-Tooth Disease
JPH1,Charcot-Marie-Tooth Disease Type 2
JPH2,Cardiomyopathy
JPH2,Primary Familial Hypertrophic Cardiomyopathy
JUP,Cardiomyopathy
KARS1,Nonsyndromic Genetic Hearing Loss
KARS1,Hereditary Hearing Loss And Deafness
KARS1,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
KBTBD13,Nemaline Myopathy
KCNA1,Hereditary Episodic Ataxia
KCNA5,Atrial Fibrillation
KCNE1,Long Qt Syndrome
KCNE1,Congenital Long Qt Syndrome
KCNE1,Jervell And Lange-Nielsen Syndrome 1
KCNE1,Hereditary Hearing Loss And Deafness
KCNE2,Congenital Long Qt Syndrome
KCNE2,Long Qt Syndrome
KCNE2,Atrial Fibrillation
KCNE3,Brugada Syndrome
KCNH2,Long Qt Syndrome
KCNH2,Congenital Long Qt Syndrome
KCNH2,Short Qt Syndrome
KCNJ1,Antenatal Bartter Syndrome
KCNJ1,Bartter Syndrome
KCNJ10,Nonsyndromic Genetic Hearing Loss
KCNJ10,Hereditary Hearing Loss And Deafness
KCNJ10,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
KCNJ11,Familial Hyperinsulinism
KCNJ11,Neonatal Diabetes Mellitus
KCNJ13,Leber Congenital Amaurosis
KCNJ2,Atrial Fibrillation
KCNJ2,Short Qt Syndrome
KCNJ5,Congenital Long Qt Syndrome
KCNJ5,Long Qt Syndrome
KCNJ5,Familial Hyperaldosteronism
KCNK18,Migraine
KCNK18,"Migraine With Or Without Aura, Susceptibility To"
KCNK3,Heritable Pulmonary Arterial Hypertension
KCNK3,Idiopathic And/Or Familial Pulmonary Arterial Hypertension
KCNK3,Idiopathic Pulmonary Arterial Hypertension
KCNK3,Primary Pulmonary Hypertension
KCNN4,Xerocytosis
KCNQ1,Short Qt Syndrome
KCNQ1,Congenital Long Qt Syndrome
KCNQ1,Long Qt Syndrome
KCNQ1,Atrial Fibrillation
KCNQ1,Hereditary Hearing Loss And Deafness
KCNQ2,Benign Neonatal Seizures
KCNQ3,Benign Neonatal Seizures
KCNQ4,Autosomal Dominant Nonsyndromic Hearing Loss
KCNQ4,Nonsyndromic Genetic Hearing Loss
KCNT1,Sleep-Related Hypermotor Epilepsy
KCNT1,Autosomal Dominant Nocturnal Frontal Lobe Epilepsy
KCNT1,Familial Sleep-Related Hypermotor Epilepsy
KCTD17,Myoclonus-Dystonia Syndrome
KDELR2,Osteogenesis Imperfecta
KIF15,Braddock-Carey Syndrome
KIF1A,Hereditary Spastic Paraplegia 30
KIF1B,Charcot-Marie-Tooth Disease Type 2
KIF1B,Neuroblastoma
KIF1B,"Charcot-Marie-Tooth Disease, Type 2A"
KIF21A,Congenital Fibrosis Of Extraocular Muscles
KIF23,Congenital Dyserythropoietic Anemia
KIF7,Joubert Syndrome
KISS1R,Precocious Puberty
KIT,Neoplasm Of The Genitourinary Tract
KIT,Malignant Tumor Of Testis
KIZ,Retinitis Pigmentosa
KLF1,Congenital Dyserythropoietic Anemia
KLF6,Neoplasm Of Stomach
KLF6,Prostate Cancer
KLF6,Neoplasm Of The Genitourinary Tract
KLHL3,Pseudohypoaldosteronism Type 2A
KLHL40,Nemaline Myopathy
KLHL7,Cold-Induced Sweating Syndrome
KLHL7,Retinitis Pigmentosa
KLK4,Amelogenesis Imperfecta
KLK4,Amelogenesis Imperfecta Type 2
KLKB1,Prekallikrein Deficiency
KMT2C,Kleefstra Syndrome
KNL1,Autosomal Recessive Primary Microcephaly
KPNA7,Inherited Oocyte Maturation Defect
KRAS,Noonan Syndrome
KRAS,Malignant Tumor Of Breast
KRAS,Breast Neoplasm
KRAS,Carcinoma Of Pancreas
KRAS,Neoplasm Of Stomach
KRAS,Neoplasm Of Lung
KRAS,Rasopathy
KRAS,Neoplasm Of The Genitourinary Tract
KRAS,Autoimmune Lymphoproliferative Syndrome
KRIT1,Hereditary Cavernous Hemangioma Of Brain
KRT1,Epidermolytic Ichthyosis
KRT1,Annular Epidermolytic Ichthyosis
KRT1,"Palmoplantar Keratoderma, Epidermolytic"
KRT10,Annular Epidermolytic Ichthyosis
KRT10,Epidermolytic Hyperkeratosis 2
KRT10,Epidermolytic Ichthyosis
KRT12,Meesmann Corneal Dystrophy
KRT14,Epidermolysis Bullosa Simplex
KRT16,Pachyonychia Congenita Syndrome
KRT17,Pachyonychia Congenita Syndrome
KRT3,Meesmann Corneal Dystrophy
KRT5,Epidermolysis Bullosa Simplex
KRT5,Dowling-Degos Disease
KRT6A,Pachyonychia Congenita Syndrome
KRT6B,Pachyonychia Congenita Syndrome
KRT74,Wooly Hair
KRT81,Monilethrix
KRT83,Monilethrix
KRT86,Monilethrix
KRT9,"Palmoplantar Keratoderma, Epidermolytic"
L1CAM,L1 Syndrome
LAGE3,Galloway-Mowat Syndrome
LAMA2,Congenital Muscular Dystrophy
LAMA3,Junctional Epidermolysis Bullosa
LAMA4,Cardiomyopathy
LAMA4,Primary Dilated Cardiomyopathy
LAMA4,Primary Familial Dilated Cardiomyopathy
LAMA5,Familial Bent Bone Dysplasia Syndrome
LAMB1,Lissencephaly
LAMB1,Malformation Of Cortical Development
LAMB3,Amelogenesis Imperfecta Type 1
LAMB3,Junctional Epidermolysis Bullosa
LAMB3,Amelogenesis Imperfecta
LAMC2,Junctional Epidermolysis Bullosa
LARGE1,Congenital Muscular Dystrophy
LARGE1,Neuromuscular Disease Caused By Qualitative Or Quantitative Defects Of Alpha-Dystroglycan
LARS1,Infantile Liver Failure
LARS2,Perrault Syndrome
LBX1,Congenital Central Hypoventilation
LCA5,Leber Congenital Amaurosis
LCAT,Lcat Deficiency
LDB3,Primary Familial Dilated Cardiomyopathy
LDB3,Cardiomyopathy
LDB3,Myofibrillar Myopathy
LDHA,Glycogen Storage Disease
LDLR,Hyperlipoproteinemia
LEP,"Monogenic Non-Syndromic Obesity, Autosomal Recessive"
LEPR,"Monogenic Non-Syndromic Obesity, Autosomal Recessive"
LFNG,Autosomal Recessive Spondylocostal Dysostosis
LHCGR,Precocious Puberty
LHFPL5,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
LHFPL5,Nonsyndromic Genetic Hearing Loss
LHX3,"Combined Pituitary Hormone Deficiencies, Genetic Form"
LHX4,"Combined Pituitary Hormone Deficiencies, Genetic Form"
LIFR,Schwartz-Jampel Syndrome
LIFR,Stuve-Wiedemann Syndrome
LIPA,Lysosomal Acid Lipase Deficiency
LIPE,Familial Partial Lipodystrophy
LIPN,Congenital Ichthyosis Of Skin
LITAF,"Charcot-Marie-Tooth Disease, Type I"
LMAN1,Combined Deficiency Of Factor V And Factor Viii
LMBRD1,Methylmalonic Aciduria And Homocystinuria
LMNA,Heart-Hand Syndrome
LMNA,Lethal Tight Skin Contracture Syndrome
LMNA,Cardiomyopathy
LMNA,Familial Partial Lipodystrophy
LMNA,Primary Familial Dilated Cardiomyopathy
LMNA,"Muscular Dystrophy, Limb-Girdle, Autosomal Dominant"
LMNA,Autosomal Dominant Emery-Dreifuss Muscular Dystrophy
LMNA,Limb-Girdle Muscular Dystrophy
LMNA,Emery-Dreifuss Muscular Dystrophy
LMX1A,Hereditary Hearing Loss And Deafness
LMX1A,Autosomal Dominant Nonsyndromic Hearing Loss
LMX1A,Nonsyndromic Genetic Hearing Loss
LMX1B,Inherited Focal Segmental Glomerulosclerosis
LMX1B,Familial Idiopathic Steroid-Resistant Nephrotic Syndrome
LMX1B,Focal Segmental Glomerulosclerosis
LMX1B,"Hereditary Nephrotic Syndromes, Autosomal Dominant"
LOXHD1,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
LOXHD1,Nonsyndromic Genetic Hearing Loss
LPAR6,Wooly Hair
LPIN2,Chronic Multifocal Osteomyelitis
LPL,Chylomicronemia Syndrome
LPL,Hyperlipoproteinemia
LPL,Familial Chylomicronemia Syndrome
LRAT,Leber Congenital Amaurosis
LRBA,Common Variable Immunodeficiency
LRMDA,Oculocutaneous Albinism
LRP12,Oculopharyngodistal Myopathy
LRP4,Sclerosteosis
LRP5,Autosomal Dominant Osteopetrosis
LRP6,Autosomal Dominant Osteopetrosis
LRPPRC,Mitochondrial Disease
LRPPRC,Hereditary Hearing Loss And Deafness
LRPPRC,Leigh Syndrome
LRRK2,Parkinson Disease
LRTOMT,Nonsyndromic Genetic Hearing Loss
LRTOMT,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
LTBP2,Weill-Marchesani Syndrome
LTBP2,Microspherophakia
LYRM4,Combined Oxidative Phosphorylation Deficiency
LYZ,"Amyloidosis, Hereditary Systemic"
LYZ,Familial Amyloid Neuropathy
LZTR1,Rasopathy
LZTR1,Noonan Syndrome
MAD1L1,Prostate Cancer
MAD1L1,Neoplasm Of The Genitourinary Tract
MAGED2,Antenatal Bartter Syndrome
MAGED2,Bartter Syndrome
MAK,Retinitis Pigmentosa
MAN2C1,Congenital Disorder Of Glycosylation
MAN2C1,Congenital Disorder Of Deglycosylation
MAP2K1,Rasopathy
MAP3K1,"Pure Gonadal Dysgenesis 46,Xy"
MAP3K7,Frontometaphyseal Dysplasia
MAP3K8,Neoplasm Of Lung
MAPT,Parkinson Disease
MAPT,Progressive Supranuclear Palsy
MAPT,Progressive Supranuclear Ophthalmoplegia
MARS1,Infantile Liver Failure
MARS2,Combined Oxidative Phosphorylation Deficiency
MARVELD2,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
MARVELD2,Nonsyndromic Genetic Hearing Loss
MBTPS2,Ifap Syndrome
MBTPS2,Osteogenesis Imperfecta
MC1R,Malignant Melanoma Of Skin
MC1R,Familial Melanoma
MC1R,Melanoma
MC1R,Oculocutaneous Albinism
MCC,Neoplasm Of The Large Intestine
MCCC1,Methylcrotonyl-Coa Carboxylase Deficiency
MCCC1,Disorder Of Organic Acid Metabolism
MCCC2,Disorder Of Organic Acid Metabolism
MCCC2,Methylcrotonyl-Coa Carboxylase Deficiency
MCEE,Methylmalonic Acidemia
MCEE,Disorder Of Organic Acid Metabolism
MCFD2,Combined Deficiency Of Factor V And Factor Viii
MCM5,Meier-Gorlin Syndrome
MCOLN1,Ashkenazi Jewish Disorders
MCPH1,Autosomal Recessive Primary Microcephaly
MECP2,Autism Spectrum Disorder
MED12,Fg Syndrome
MEOX1,Klippel-Feil Syndrome
MERTK,Retinitis Pigmentosa
MESD,Osteogenesis Imperfecta
MESP2,Autosomal Recessive Spondylocostal Dysostosis
MET,Neoplasm Of The Genitourinary Tract
MFAP5,Familial Thoracic Aortic Aneurysm And Aortic Dissection
MFN2,Charcot-Marie-Tooth Disease Type 2
MFN2,Charcot-Marie-Tooth Disease
MFSD2A,Autosomal Recessive Primary Microcephaly
MFSD8,Neuronal Ceroid Lipofuscinosis
MGAT2,Congenital Disorder Of Glycosylation
MGME1,Mitochondrial Disease
MGME1,Hereditary Hearing Loss And Deafness
MGME1,Mitochondrial Dna Deletion Syndromes
MIA3,Odontochondrodysplasia
MICOS13,Combined Oxidative Phosphorylation Deficiency
MID1,Opitz G/Bbb Syndrome
MIPEP,Combined Oxidative Phosphorylation Deficiency
MIR96,Nonsyndromic Genetic Hearing Loss
MIR96,Autosomal Dominant Nonsyndromic Hearing Loss
MITF,Melanoma
MITF,Familial Melanoma
MITF,Hereditary Hearing Loss And Deafness
MITF,Waardenburg Syndrome Type 2
MITF,Malignant Melanoma Of Skin
MKS1,Meckel-Gruber Syndrome
MKS1,Bardet-Biedl Syndrome
MLH1,Constitutional Mismatch Repair Deficiency Syndrome
MLH1,Turcot Syndrome
MLH3,Neoplasm Of The Large Intestine
MLH3,Endometrial Cancer
MLIP,"Myopathy With Myalgia, Increased Serum Creatine Kinase, And With Or Without Episodic Rhabdomyolysis"
MMAA,Methylmalonic Acidemia
MMAA,Disorder Of Organic Acid Metabolism
MMAB,Disorder Of Organic Acid Metabolism
MMAB,Methylmalonic Acidemia
MMACHC,Methylmalonic Aciduria And Homocystinuria
MMACHC,Disorder Of Organic Acid Metabolism
MMADHC,Disorder Of Organic Acid Metabolism
MMADHC,Methylmalonic Aciduria And Homocystinuria
MMADHC,Methylmalonic Acidemia
MMP14,Multicentric Osteolysis Nodulosis Arthropathy Spectrum
MMP2,Multicentric Osteolysis Nodulosis Arthropathy Spectrum
MMP20,Amelogenesis Imperfecta
MMP20,Amelogenesis Imperfecta Type 2
MMUT,Disorder Of Organic Acid Metabolism
MMUT,Methylmalonic Acidemia
MOCOS,Hereditary Xanthinuria
MOCS1,Combined Molybdoflavoprotein Enzyme Deficiency
MOCS2,Combined Molybdoflavoprotein Enzyme Deficiency
MOGS,Congenital Disorder Of Glycosylation
MPDU1,Congenital Disorder Of Glycosylation
MPDZ,Hydrocephalus
MPDZ,Congenital Hydrocephalus
MPI,Congenital Disorder Of Glycosylation
MPL,Essential Thrombocythemia
MPL,Congenital Amegakaryocytic Thrombocytopenia
MPO,Early-Onset Autosomal Dominant Alzheimer Disease
MPO,Alzheimer Disease
MPV17,Hereditary Hearing Loss And Deafness
MPV17,Mitochondrial Dna Deletion Syndromes
MPV17,Mitochondrial Disease
MPV17,Mitochondrial Dna Depletion Syndrome 15 (Hepatocerebral Type)
MPZ,Charcot-Marie-Tooth Disease Type 2
MPZ,Charcot-Marie-Tooth Disease Type 4
MPZ,"Charcot-Marie-Tooth Disease, Type I"
MPZ,Charcot-Marie-Tooth Disease
MPZ,Congenital Hypomyelinating Neuropathy
MRPL3,Combined Oxidative Phosphorylation Deficiency
MRPL44,Combined Oxidative Phosphorylation Deficiency
MRPS16,Combined Oxidative Phosphorylation Deficiency
MRPS2,Combined Oxidative Phosphorylation Deficiency
MRPS22,Combined Oxidative Phosphorylation Deficiency
MRPS34,Combined Oxidative Phosphorylation Deficiency
MRPS7,Combined Oxidative Phosphorylation Deficiency
MS4A1,Common Variable Immunodeficiency
MSH2,Turcot Syndrome
MSH2,Constitutional Mismatch Repair Deficiency Syndrome
MSH3,Endometrial Cancer
MSH6,Endometrial Cancer
MSH6,Constitutional Mismatch Repair Deficiency Syndrome
MSH6,Turcot Syndrome
MSRB3,Nonsyndromic Genetic Hearing Loss
MSRB3,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
MSRB3,Hereditary Hearing Loss And Deafness
MSX1,Orofacial Cleft
MSX2,Cranium Bifidum Occultum
MSX2,Craniosynostosis Syndrome
MT-ATP6,Hereditary Hearing Loss And Deafness
MT-ATP6,Retinitis Pigmentosa
MT-CO1,Retinitis Pigmentosa
MT-CO1,Mitochondrial Disease
MT-CO1,Nonsyndromic Genetic Hearing Loss
MT-CO2,Retinitis Pigmentosa
MT-CO3,Retinitis Pigmentosa
MT-ND1,Retinitis Pigmentosa
MT-ND1,Hereditary Hearing Loss And Deafness
MT-ND2,Retinitis Pigmentosa
MT-ND3,Retinitis Pigmentosa
MT-ND4,Retinitis Pigmentosa
MT-ND4,Hereditary Hearing Loss And Deafness
MT-ND5,Hereditary Hearing Loss And Deafness
MT-ND5,Retinitis Pigmentosa
MT-ND6,Retinitis Pigmentosa
MT-ND6,Hereditary Hearing Loss And Deafness
MT-RNR1,Mitochondrial Disease
MT-RNR1,Nonsyndromic Genetic Hearing Loss
MT-TA,Hereditary Hearing Loss And Deafness
MT-TC,Hereditary Hearing Loss And Deafness
MT-TD,Hereditary Hearing Loss And Deafness
MT-TF,Hereditary Hearing Loss And Deafness
MT-TH,Hereditary Hearing Loss And Deafness
MT-TI,Retinitis Pigmentosa
MT-TK,Retinitis Pigmentosa
MT-TK,Hereditary Hearing Loss And Deafness
MT-TL1,Hereditary Hearing Loss And Deafness
MT-TL1,Retinitis Pigmentosa
MT-TL2,Retinitis Pigmentosa
MT-TL2,Hereditary Hearing Loss And Deafness
MT-TM,Hereditary Hearing Loss And Deafness
MT-TN,Hereditary Hearing Loss And Deafness
MT-TN,Mitochondrial Disease
MT-TQ,Hereditary Hearing Loss And Deafness
MT-TR,Hereditary Hearing Loss And Deafness
MT-TS1,Nonsyndromic Genetic Hearing Loss
MT-TS2,Hereditary Hearing Loss And Deafness
MT-TT,Hereditary Hearing Loss And Deafness
MT-TT,Parkinson Disease
MT-TV,Retinitis Pigmentosa
MT-TV,Hereditary Hearing Loss And Deafness
MT-TW,Retinitis Pigmentosa
MT-TW,Hereditary Hearing Loss And Deafness
MT-TY,Hereditary Hearing Loss And Deafness
MTFMT,Hereditary Hearing Loss And Deafness
MTFMT,Combined Oxidative Phosphorylation Deficiency
MTFMT,Leigh Syndrome
MTFMT,Mitochondrial Disease
MTM1,Centronuclear Myopathy
MTMR14,Centronuclear Myopathy
MTMR2,Charcot-Marie-Tooth Disease Type 4
MTO1,Combined Oxidative Phosphorylation Deficiency
MTRFR,Combined Oxidative Phosphorylation Deficiency
MUC5B,Diffuse Interstitial Pulmonary Fibrosis
MUTYH,Neoplasm Of Stomach
MVK,Deficiency Of Mevalonate Kinase
MXI1,Prostate Cancer
MXI1,Neoplasm Of The Genitourinary Tract
MYBPC1,Distal Arthrogryposis
MYBPC1,"Digitotalar Dysmorphism; Ulnar Drift, Hereditary"
MYBPC3,Cardiomyopathy
MYD88,Waldenstrom Macroglobulinemia
MYH14,Autosomal Dominant Nonsyndromic Hearing Loss
MYH14,Nonsyndromic Genetic Hearing Loss
MYH3,Distal Arthrogryposis
MYH3,Sheldon-Hall Syndrome
MYH6,Cardiomyopathy
MYH6,Caveolinopathy
MYH6,Sick Sinus Syndrome
MYH6,Primary Familial Dilated Cardiomyopathy
MYH6,Familial Sick Sinus Syndrome
MYH6,"Muscular Dystrophy, Limb-Girdle, Autosomal Dominant"
MYH6,Atrial Septal Defect
MYH6,Limb-Girdle Muscular Dystrophy
MYH7,Limb-Girdle Muscular Dystrophy
MYH7,Cardiomyopathy
MYH7,"Muscular Dystrophy, Limb-Girdle, Autosomal Dominant"
MYH7,Primary Familial Dilated Cardiomyopathy
MYH7,Hyaline Body Myopathy
MYH7,Primary Dilated Cardiomyopathy
MYH7,Caveolinopathy
MYH8,Distal Arthrogryposis
MYH9,Autosomal Dominant Nonsyndromic Hearing Loss
MYH9,Nonsyndromic Genetic Hearing Loss
MYL2,Cardiomyopathy
MYL3,Cardiomyopathy
MYLK2,Cardiomyopathy
MYLK2,Caveolinopathy
MYLK2,Primary Familial Hypertrophic Cardiomyopathy
MYLK2,"Muscular Dystrophy, Limb-Girdle, Autosomal Dominant"
MYLK2,Limb-Girdle Muscular Dystrophy
MYMK,Congenital Nonprogressive Myopathy With Moebius And Robin Sequences
MYMX,Congenital Nonprogressive Myopathy With Moebius And Robin Sequences
MYO15A,Nonsyndromic Genetic Hearing Loss
MYO15A,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
MYO18B,Klippel-Feil Syndrome
MYO1A,Nonsyndromic Genetic Hearing Loss
MYO1A,Autosomal Dominant Nonsyndromic Hearing Loss
MYO1E,Focal Segmental Glomerulosclerosis
MYO1E,Familial Idiopathic Steroid-Resistant Nephrotic Syndrome
MYO1E,Inherited Focal Segmental Glomerulosclerosis
MYO1E,"Hereditary Nephrotic Syndromes, Autosomal Dominant"
MYO1H,Congenital Central Hypoventilation
MYO3A,Nonsyndromic Genetic Hearing Loss
MYO3A,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
MYO6,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
MYO6,Nonsyndromic Genetic Hearing Loss
MYO6,Autosomal Dominant Nonsyndromic Hearing Loss
MYO7A,Autosomal Dominant Nonsyndromic Hearing Loss
MYO7A,Nonsyndromic Genetic Hearing Loss
MYO7A,Usher Syndrome
MYO7A,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
MYOC,Glaucoma
MYOT,Limb-Girdle Muscular Dystrophy
MYOT,Myofibrillar Myopathy
MYOT,"Muscular Dystrophy, Limb-Girdle, Autosomal Dominant"
MYOZ2,Cardiomyopathy
NAA10,Lenz Microphthalmia Syndrome
NAGLU,Sanfilippo Syndrome
NALCN,Distal Arthrogryposis
NALCN,Sheldon-Hall Syndrome
NARS2,Combined Oxidative Phosphorylation Deficiency
NAXD,"Encephalopathy, Progressive, Early-Onset, With Brain Edema And/Or Leukoencephalopathy"
NAXE,"Encephalopathy, Progressive, Early-Onset, With Brain Edema And/Or Leukoencephalopathy"
NCF1,Chronic Granulomatous Disease
NCF2,Chronic Granulomatous Disease
NCF4,Chronic Granulomatous Disease
NDRG1,Charcot-Marie-Tooth Disease Type 4
NDUFA1,Mitochondrial Disease
NDUFA1,Leigh Syndrome
NDUFA1,Hereditary Hearing Loss And Deafness
NDUFA10,Hereditary Hearing Loss And Deafness
NDUFA10,Leigh Syndrome
NDUFA10,Mitochondrial Disease
NDUFAF2,Mitochondrial Disease
NDUFAF2,Leigh Syndrome
NDUFAF2,Hereditary Hearing Loss And Deafness
NDUFB11,Linear Skin Defects With Multiple Congenital Anomalies
NDUFS1,Mitochondrial Disease
NDUFS1,Hereditary Hearing Loss And Deafness
NDUFS1,Leigh Syndrome
NDUFS2,"Leber Hereditary Optic Neuropathy, Autosomal Recessive"
NDUFS3,Mitochondrial Disease
NDUFS3,Leigh Syndrome
NDUFS3,Hereditary Hearing Loss And Deafness
NDUFS4,Hereditary Hearing Loss And Deafness
NDUFS4,Leigh Syndrome
NDUFS4,Mitochondrial Complex I Deficiency
NDUFS4,Mitochondrial Disease
NDUFS7,Mitochondrial Disease
NDUFS7,Leigh Syndrome
NDUFS7,Hereditary Hearing Loss And Deafness
NDUFS8,Hereditary Hearing Loss And Deafness
NDUFS8,Leigh Syndrome
NDUFS8,Mitochondrial Disease
NDUFV1,Mitochondrial Disease
NDUFV1,Leigh Syndrome
NDUFV1,Hereditary Hearing Loss And Deafness
NEB,Nemaline Myopathy
NEFH,Amyotrophic Lateral Sclerosis
NEFL,"Charcot-Marie-Tooth Disease, Type I"
NEFL,Charcot-Marie-Tooth Disease Type 2
NEK1,"Short Rib-Polydactyly Syndrome, Majewski Type"
NEK2,Retinitis Pigmentosa
NEU1,Sialidosis
NEXN,Cardiomyopathy
NEXN,Primary Familial Dilated Cardiomyopathy
NF1,Rasopathy
NF2,Hereditary Hearing Loss And Deafness
NFKB1,Common Variable Immunodeficiency
NFKB2,Common Variable Immunodeficiency
NFKBIA,Ectodermal Dysplasia And Immune Deficiency
NGLY1,Congenital Disorder Of Glycosylation
NGLY1,Congenital Disorder Of Deglycosylation
NHERF1,Osteoporosis
NHERF1,"Nephrolithiasis/Osteoporosis, Hypophosphatemic"
NHLRC1,Progressive Myoclonic Epilepsy
NHP2,Dyskeratosis Congenita
NHP2,Autosomal Recessive Dyskeratosis Congenita
NIPAL4,Congenital Ichthyosis Of Skin
NLGN3,Autism Spectrum Disorder
NLGN4X,Autism Spectrum Disorder
NLRC4,Familial Cold Autoinflammatory Syndrome
NLRP12,Familial Cold Autoinflammatory Syndrome
NLRP3,Familial Cold Autoinflammatory Syndrome
NME8,Primary Ciliary Dyskinesia
NMNAT1,Leber Congenital Amaurosis
NOBOX,Premature Ovarian Failure
NOG,Brachydactyly Type B
NOG,Multiple Synostosis Syndrome
NOP10,Autosomal Recessive Dyskeratosis Congenita
NOP10,Dyskeratosis Congenita
NOS3,Moyamoya Disease
NOTCH1,Aortic Valve Disorder
NOTCH2,Arteriohepatic Dysplasia
NOTCH2NLC,Oculopharyngodistal Myopathy
NOTCH3,Familial Partial Lipodystrophy
NOTCH3,Infantile Myofibromatosis
NOTCH3,Myofibromatosis
NPC1,"Niemann-Pick Disease, Type C"
NPC1,Sphingomyelin/Cholesterol Lipidosis
NPC2,Sphingomyelin/Cholesterol Lipidosis
NPC2,"Niemann-Pick Disease, Type C"
NPHP1,Renal Dysplasia And Retinal Aplasia
NPHP1,Joubert Syndrome
NPHP3,Meckel-Gruber Syndrome
NPHP4,Renal Dysplasia And Retinal Aplasia
NPHS1,"Hereditary Nephrotic Syndromes, Autosomal Recessive"
NPHS1,Familial Idiopathic Steroid-Resistant Nephrotic Syndrome
NPHS2,Familial Idiopathic Steroid-Resistant Nephrotic Syndrome
NPHS2,"Hereditary Nephrotic Syndromes, Autosomal Recessive"
NPPA,Atrial Standstill
NPR2,Short Stature With Nonspecific Skeletal Abnormalities
NPRL2,Familial Focal Epilepsy With Variable Foci
NPRL3,Familial Focal Epilepsy With Variable Foci
NQO2,Breast Neoplasm
NQO2,Malignant Tumor Of Breast
NR0B1,"Pure Gonadal Dysgenesis 46,Xy"
NR0B2,Obesity
NR2E3,Retinitis Pigmentosa
NR2E3,Enhanced S-Cone Syndrome
NR2F2,Familial Atrioventricular Septal Defect
NR4A2,Parkinson Disease
NR5A1,Premature Ovarian Failure
NR5A1,"Pure Gonadal Dysgenesis 46,Xy"
NRAS,Autoimmune Lymphoproliferative Syndrome
NRAS,Melanocytic Nevus
NRAS,Noonan Syndrome
NRAS,Rasopathy
NRAS,Neoplasm Of The Large Intestine
NRL,Retinitis Pigmentosa
NRL,Enhanced S-Cone Syndrome
NTF4,Glaucoma
NTRK1,"Multiple Endocrine Neoplasia, Type 2"
NUDT15,Thiopurine Response
NUDT15,Thiopurine S-Methyltransferase Deficiency
NUP107,Galloway-Mowat Syndrome
NUP133,Galloway-Mowat Syndrome
NUP62,Infantile Bilateral Striatal Necrosis
NYX,Congenital Stationary Night Blindness
NYX,X-Linked Congenital Stationary Night Blindness
OAS2,Autoimmune Interstitial Lung Disease-Arthritis Syndrome
OBSL1,3-M Syndrome
OCA2,Oculocutaneous Albinism
OCRL,Dent Disease
ODAD1,Primary Ciliary Dyskinesia
ODAD2,Primary Ciliary Dyskinesia
ODAD3,Primary Ciliary Dyskinesia
ODAD4,Primary Ciliary Dyskinesia
ODAPH,Amelogenesis Imperfecta
ODAPH,Amelogenesis Imperfecta Type 2
OFD1,Simpson-Golabi-Behmel Syndrome
OFD1,Joubert Syndrome
OPA1,Autosomal Dominant Optic Atrophy Plus Syndrome
OPA3,3-Methylglutaconic Aciduria
OPCML,Neoplasm Of The Genitourinary Tract
OPCML,Ovarian Neoplasm
OPN1LW,Red-Green Dyschromatopsia
OPN1MW,Red-Green Dyschromatopsia
OPTN,Glaucoma
ORC1,Meier-Gorlin Syndrome
ORC4,Meier-Gorlin Syndrome
ORC6,Meier-Gorlin Syndrome
OSGEP,Galloway-Mowat Syndrome
OTOA,Nonsyndromic Genetic Hearing Loss
OTOA,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
OTOF,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
OTOF,Nonsyndromic Genetic Hearing Loss
OTX2,"Combined Pituitary Hormone Deficiencies, Genetic Form"
OVOL2,Posterior Polymorphous Corneal Dystrophy
OVOL2,Corneal Endothelial Dystrophy
OVOL2,Corneal Dystrophy
OXGR1,"Nephrolithiasis, Calcium Oxalate"
P2RX2,Nonsyndromic Genetic Hearing Loss
P2RX2,Autosomal Dominant Nonsyndromic Hearing Loss
P2RX2,Hereditary Hearing Loss And Deafness
P3H1,Osteogenesis Imperfecta
PABPN1,Oculopharyngeal Muscular Dystrophy
PADI3,Uncombable Hair Syndrome
PADI6,Inherited Oocyte Maturation Defect
PAFAH1B1,Lissencephaly
PAFAH1B1,Malformation Of Cortical Development
PAH,Disorder Of Amino Acid Metabolism
PAK2,Knobloch Syndrome
PALB2,Fanconi Anemia
PALB2,Breast Neoplasm
PALB2,Familial Cancer Of Breast
PALB2,Malignant Tumor Of Breast
PAM16,Spondylometaphyseal Dysplasia
PAM16,Type 2 Collagenopathy
