gene,disease
AVPR2,Nephrogenic Diabetes Insipidus
AXIN2,Neoplasm Of The Large Intestine
B2M,Familial Amyloid Neuropathy
B2M,Mhc Class I Deficiency
B2M,"Amyloidosis, Hereditary Systemic"
B3GALT6,Ehlers-Danlos Syndrome
B3GALT6,Ehlers-Danlos Syndrome Progeroid Type
B4GALT1,Congenital Disorder Of Glycosylation
B4GALT7,Ehlers-Danlos Syndrome
B4GALT7,Ehlers-Danlos Syndrome Progeroid Type
B9D1,Meckel-Gruber Syndrome
B9D2,Meckel-Gruber Syndrome
BAG3,Primary Familial Dilated Cardiomyopathy
BAG3,Cardiomyopathy
BAG3,Myofibrillar Myopathy
BARD1,Malignant Tumor Of Breast
BARD1,Breast Neoplasm
BAX,Neoplasm Of The Large Intestine
BBS10,Bardet-Biedl Syndrome
BBS12,Bardet-Biedl Syndrome
BBS2,Bardet-Biedl Syndrome
BBS5,Bardet-Biedl Syndrome
BBS7,Bardet-Biedl Syndrome
BBS9,Bardet-Biedl Syndrome
BCKDHA,Disorder Of Amino Acid Metabolism
BCKDHA,Disorder Of Organic Acid Metabolism
BCKDHB,Disorder Of Organic Acid Metabolism
BCKDHB,Disorder Of Amino Acid Metabolism
BCL10,Malignant Tumor Of Testis
BCL10,Neoplasm Of The Genitourinary Tract
BCL10,Non-Hodgkin Lymphoma
BCOR,Lenz Microphthalmia Syndrome
BCOR,Anophthalmia-Microphthalmia Syndrome
BCS1L,Mitochondrial Disease
BCS1L,Leigh Syndrome
BCS1L,Hereditary Hearing Loss And Deafness
BEST1,Retinitis Pigmentosa
BIN1,Centronuclear Myopathy
BLM,Ashkenazi Jewish Disorders
BLOC1S3,Hermansky-Pudlak Syndrome
BLOC1S6,Hermansky-Pudlak Syndrome
BMP1,Osteogenesis Imperfecta
BMP2,Hereditary Hemochromatosis
BMP2,"Short Stature, Facial Dysmorphism, And Skeletal Anomalies With Or Without Cardiac Anomalies"
BMP4,Orofacial Cleft
BMPR1B,Short Stature With Nonspecific Skeletal Abnormalities
BMPR1B,Brachydactyly Type A1
BMPR2,Pulmonary Venoocclusive Disease
BMPR2,Primary Pulmonary Hypertension
BMPR2,Idiopathic Pulmonary Arterial Hypertension
BMPR2,Heritable Pulmonary Arterial Hypertension
BMPR2,Idiopathic And/Or Familial Pulmonary Arterial Hypertension
BPTF,Kaposi Sarcoma
BRAF,Familial Atypical Multiple Mole Melanoma Syndrome
BRAF,Neoplasm Of The Large Intestine
BRAF,Rasopathy
BRAF,Familial Melanoma
BRAF,Neoplasm Of Lung
BRAF,Noonan Syndrome With Multiple Lentigines
BRAF,Melanoma
BRAF,Noonan Syndrome
BRAF,Malignant Melanoma Of Skin
BRCA1,Malignant Tumor Of Breast
BRCA1,Breast Neoplasm
BRCA1,Hereditary Breast Ovarian Cancer Syndrome
BRCA2,Hereditary Breast Ovarian Cancer Syndrome
BRCA2,Kidney Wilms Tumor
BRCA2,Fanconi Anemia
BRCA2,Breast Neoplasm
BRCA2,Glioma
BRCA2,Nephroblastoma
BRCA2,Hereditary Wilms Tumor
BRCA2,Malignant Tumor Of Breast
BRCA2,Neoplasm Of The Genitourinary Tract
BRCA2,Prostate Cancer
BRIP1,Malignant Tumor Of Breast
BRIP1,Breast Neoplasm
BRIP1,Fanconi Anemia
BSCL2,Berardinelli-Seip Congenital Lipodystrophy
BSCL2,"Neuronopathy, Distal Hereditary Motor, Type 5"
BSCL2,Congenital Generalized Lipodystrophy
BSND,Bartter Syndrome
BTD,Multiple Carboxylase Deficiency
BTD,Hereditary Hearing Loss And Deafness
BTG4,Inherited Oocyte Maturation Defect
BTK,Idiopathic Growth Hormone Deficiency
BUB1,Neoplasm Of The Large Intestine
BUB1B,Neoplasm Of The Large Intestine
BUB1B,Mosaic Variegated Aneuploidy Syndrome
C1QA,C1Q Deficiency
C1QB,C1Q Deficiency
C1QBP,Combined Oxidative Phosphorylation Deficiency
C1QC,C1Q Deficiency
C1R,"Ehlers-Danlos Syndrome, Periodontitis Type"
C1S,"Ehlers-Danlos Syndrome, Periodontitis Type"
C2,Age-Related Macular Degeneration
C3,Age-Related Macular Degeneration
C3,Hemolytic-Uremic Syndrome
C3,Atypical Hemolytic-Uremic Syndrome
C9,Age-Related Macular Degeneration
CACNA1A,Familial Hemiplegic Migraine
CACNA1A,Familial Or Sporadic Hemiplegic Migraine
CACNA1A,Hereditary Episodic Ataxia
CACNA1C,Brugada Syndrome
CACNA1F,Congenital Stationary Night Blindness
CACNA1F,X-Linked Congenital Stationary Night Blindness
CACNA1H,Idiopathic Generalized Epilepsy
CACNA1H,Absence Seizure
CACNA1S,"Malignant Hyperthermia, Susceptibility To"
CACNA1S,Malignant Hyperthermia
CACNA1S,Rare Disease With Malignant Hyperthermia
CACNA1S,Hypokalemic Periodic Paralysis
CACNB2,Brugada Syndrome
CACNB4,Idiopathic Generalized Epilepsy
CACNB4,Hereditary Episodic Ataxia
CACNB4,Juvenile Myoclonic Epilepsy
CALR,Essential Thrombocythemia
CAPN3,Limb-Girdle Muscular Dystrophy
CAPN3,Autosomal Recessive Limb-Girdle Muscular Dystrophy
CARS2,Combined Oxidative Phosphorylation Deficiency
CARTPT,Obesity
CASK,"Intellectual Disability, Cask-Related, X-Linked"
CASK,Fg Syndrome
CASP10,Neoplasm Of Stomach
CASP10,Non-Hodgkin Lymphoma
CASP10,Autoimmune Lymphoproliferative Syndrome
CASP8,Autoimmune Lymphoproliferative Syndrome
CASP8,Breast Neoplasm
CASP8,Neoplasm Of Lung
CASP8,Malignant Tumor Of Breast
CAV1,Congenital Generalized Lipodystrophy
CAV1,Primary Pulmonary Hypertension
CAV1,Familial Partial Lipodystrophy
CAV1,Idiopathic Pulmonary Arterial Hypertension
CAV1,Berardinelli-Seip Congenital Lipodystrophy
CAV1,Heritable Pulmonary Arterial Hypertension
CAV1,Idiopathic And/Or Familial Pulmonary Arterial Hypertension
CAV3,"Muscular Dystrophy, Limb-Girdle, Autosomal Dominant"
CAV3,Rippling Muscle Disease
CAV3,Long Qt Syndrome
CAV3,Primary Familial Hypertrophic Cardiomyopathy
CAV3,Inherited Rippling Muscle Disease
CAV3,Caveolinopathy
CAV3,Congenital Long Qt Syndrome
CAV3,Cardiomyopathy
CAV3,Limb-Girdle Muscular Dystrophy
CAVIN1,Congenital Generalized Lipodystrophy
CAVIN1,Berardinelli-Seip Congenital Lipodystrophy
CBL,Rasopathy
CBX2,"Pure Gonadal Dysgenesis 46,Xy"
CC2D2A,Coach Syndrome
CC2D2A,Meckel-Gruber Syndrome
CC2D2A,Joubert Syndrome
CCDC134,Osteogenesis Imperfecta
CCDC28B,Bardet-Biedl Syndrome
CCDC39,Primary Ciliary Dyskinesia
CCDC40,Primary Ciliary Dyskinesia
CCDC50,Nonsyndromic Genetic Hearing Loss
CCDC50,Autosomal Dominant Nonsyndromic Hearing Loss
CCDC8,3-M Syndrome
CCDC88C,Congenital Hydrocephalus
CCDC88C,Hydrocephalus
CCM2,Hereditary Cavernous Hemangioma Of Brain
CCND1,Neoplasm Of The Large Intestine
